,release_year,total_titles
0,1925,1
1,1942,2
2,1943,3
3,1944,3
4,1945,4
5,1946,2
6,1947,1
7,1954,2
8,1955,3
9,1956,2
10,1958,3
11,1959,1
12,1960,4
13,1961,1
14,1962,3
15,1963,2
16,1964,2
17,1965,2
18,1966,1
19,1967,5
20,1968,3
21,1969,2
22,1970,2
23,1971,5
24,1972,5
25,1973,10
26,1974,7
27,1975,7
28,1976,9
29,1977,7
30,1978,7
31,1979,11
32,1980,11
33,1981,13
34,1982,17
35,1983,11
36,1984,12
37,1985,10
38,1986,13
39,1987,8
40,1988,18
41,1989,16
42,1990,22
43,1991,17
44,1992,23
45,1993,28
46,1994,22
47,1995,25
48,1996,24
49,1997,38
50,1998,36
51,1999,39
52,2000,37
53,2001,45
54,2002,51
55,2003,61
56,2004,64
57,2005,80
58,2006,96
59,2007,88
60,2008,136
61,2009,152
62,2010,194
63,2011,185
64,2012,237
65,2013,288
66,2014,352
67,2015,560
68,2016,902
69,2017,1032
70,2018,1147
71,2019,1030
72,2020,953
73,2021,592
